,ColNames,Correlation
3332,domvio12read813,-0.7822509025433949
3313,domvio12read310,-0.75608573997796
1314,viol12read811,-0.7417956032506406
3154,domvio11read511,-0.7376690205035716
1306,viol12read511,-0.7246785367644495
3316,domvio12read313,-0.724253645498868
3491,shoot11read512,-0.7152608761913085
4331,narc12read512,-0.7149111246992562
3164,domvio11read813,-0.7145573218560174
3994,caslt12read511,-0.7115154137456939
5507,arrest14read512,-0.7082227262277403
4324,narc12read313,-0.7065047756723933
3490,shoot11read511,-0.7055167062713044
3155,domvio11read512,-0.704672304970339
3323,domvio12read512,-0.7023603556783251
3328,domvio12math813,-0.7012269611828191
3336,domvio12hsaeng13,-0.6950556788394816
4156,narc11read313,-0.694434605832055
970,viol10read511,-0.6937748265990514
1138,viol11read511,-0.6934333078683603
1482,viol13read811,-0.6914859277845499
3322,domvio12read511,-0.6840805414612854
3315,domvio12read312,-0.6833283079414717
4170,narc11read811,-0.6826460380908683
3337,domvio12hsabio10,-0.682198870173414
1650,viol14read811,-0.6811996181673441
5506,arrest14read511,-0.6797236465505216
3145,domvio11read310,-0.6788283320374594
3312,domvio12math313,-0.6784890817745043
5516,arrest14read813,-0.6783792475270691
1308,viol12read513,-0.6759609040179861
3156,domvio11read513,-0.6756602858694835
3168,domvio11hsaeng13,-0.6729493516392213
1642,viol14read511,-0.6721489278831451
5176,gunhom13math813,-0.6707902415966595
1474,viol13read511,-0.669998082566047
2986,domvio10read511,-0.6680993448159548
4338,narc12read811,-0.6656032861153176
3345,domvio12hsaalg11,-0.6655330689722705
4340,narc12read813,-0.6649068108286805
3331,domvio12read812,-0.6634665313292988
2826,juvdrug11read811,-0.6634497210500161
4320,narc12math313,-0.6631266451492932
3333,domvio12hsaeng10,-0.6629833652828098
4163,narc11read512,-0.662512069121767
2977,domvio10read310,-0.6620904427302621
4319,narc12math312,-0.6617105879964402
3163,domvio11read812,-0.6602632676043052
5040,gunhom13empl13,-0.6598769657422157
3500,shoot11read813,-0.6582923008961319
4172,narc11read813,-0.65820526455032
5500,arrest14read313,-0.6576647327336701
3484,shoot11read313,-0.657624973993581
3996,caslt12read513,-0.6548734008978737
4844,gunhom11read813,-0.6544924651070949
2996,domvio10read813,-0.6537941137335859
3342,domvio12hsagov11,-0.6531852380951082
3148,domvio11read313,-0.6530233445322522
3330,domvio12read811,-0.6528397322196857
3498,shoot11read811,-0.652405810769333
4835,gunhom11read512,-0.6508417597550112
4002,caslt12read811,-0.6498300189348664
3492,shoot11read513,-0.6495423425240726
2988,domvio10read513,-0.6479100533986489
978,viol10read811,-0.6473940963369307
3172,domvio11hsabio13,-0.64724990022733
5180,gunhom13read813,-0.6471310616047247
1300,viol12read313,-0.6465148873982575
5508,arrest14read513,-0.6445033764000747
2987,domvio10read512,-0.6438199109641232
1476,viol13read513,-0.6432358241304281
4332,narc12read513,-0.6415274938191097
3324,domvio12read513,-0.6411256055061223
1644,viol14read513,-0.6393098783177708
1636,viol14read313,-0.6351785995557601
5164,gunhom13read313,-0.6338435157378652
3826,caslt11read511,-0.6335732557700492
3174,domvio11hsagov11,-0.633035504589318
1307,viol12read512,-0.6321392836815733
1293,viol12math310,-0.631998114503746
3177,domvio11hsaalg11,-0.6318060629940203
3160,domvio11math813,-0.6311372036299041
3169,domvio11hsabio10,-0.6295370138539244
3477,shoot11math310,-0.6271877456470214
3479,shoot11math312,-0.6257497981961793
5160,gunhom13math313,-0.624743676356121
3311,domvio12math312,-0.6246453358161951
3165,domvio11hsaeng10,-0.6241487694691222
1146,viol11read811,-0.6240352837969128
4317,narc12math310,-0.6238707068468312
4151,narc11math312,-0.6237430932041449
5008,gunhom12math813,-0.6234835052025146
2818,juvdrug11read511,-0.6227716278613976
4152,narc11math313,-0.6226895208506344
4872,gunhom12empl13,-0.6220796857525916
2995,domvio10read812,-0.6219372461464662
3162,domvio11read811,-0.6213371200816541
3340,domvio12hsabio13,-0.6212560633671041
4164,narc11read513,-0.6207925908776886
4828,gunhom11read313,-0.619188002727964
3995,caslt12read512,-0.6176884357237131
4704,gunhom11empl13,-0.6162563532418347
3147,domvio11read312,-0.6158621824257886
1296,viol12math313,-0.6151957764111485
1316,viol12read813,-0.615144398305222
5514,arrest14read811,-0.614723737177831
972,viol10read513,-0.614580189570688
5496,arrest14math313,-0.6138923808652732
4840,gunhom11math813,-0.6131179479833483
3834,caslt11read811,-0.6122473952361372
4823,gunhom11math312,-0.6118290918924368
3309,domvio12math310,-0.6105814303996341
2805,juvdrug11math310,-0.6100968713185181
5493,arrest14math310,-0.6094177938261613
3480,shoot11math313,-0.608899571650608
