,Neighborhood,crime10,crime11,crime12,crime13,crime14,viol10,viol11,viol12,viol13,viol14,prop11,prop12,prop13,prop14,juvarr11,juvviol11,juvdrug11,domvio10,domvio11,domvio12,shoot11,caslt11,caslt12,narc11,narc12,caracc11,caracc12,gunhom11,gunhom12,gunhom13,arrest14,empl13,unempl13,nilf13,unempr13,lesshs13,hsdipl13,somecol13,wrkout10,wrkout11,comprop10,comprop11,comprop12,comprop13,crehab10,crehab11,crehab12,crehab13,banks11,banks12,banks13,numbus10,numbus11,numbus12,numbus13,totemp10,totemp11,totemp12,totemp13,smlbus10,smlbus11,smlbus12,smlbus13,biz1_10,biz1_11,biz1_12,biz1_13,biz2_10,biz2_11,biz2_12,biz2_13,biz4_10,biz4_11,biz4_12,biz4_13,neiind10,neiind11,neiind12,neiind13,neibus10,neibus11,neibus12,neibus13,neiemp10,neiemp11,neiemp12,neiemp13,prbprl12
0,Allendale/Irvington/S. Hilton,40.6,46.2,45.4,47.3,55.1,12.6,12.5,13.9,12.6,10.1,33.7,31.6,33.9,44.5,54.8,12.4,22.2,59.4,65.4,61.0,2.5,84.4,79.7,78.8,79.7,44.0,43.0,0.2,0.6,0.4,34.5,60.3,13.2,26.5,17.9,23.7,64.6,11.7,60.3,59.0,279,278,284,281,13.3,8.6,13.7,10.0,0.0,0.0,0.0,269,237,253,281,2778,2502,2629,2795,255,226,242,269,8.9,11.0,9.5,3.9,19.3,15.6,24.5,19.2,33.8,29.1,34.8,39.9,183,161,162,173,11.3,9.9,10.0,10.7,1503,1378,1370,1467,6.2
1,Beechfield/Ten Hills/West Hills,33.6,36.1,36.6,36.0,46.6,8.4,7.2,7.0,6.4,6.9,28.9,29.6,28.7,38.7,22.0,9.1,5.3,47.9,44.8,42.4,2.0,51.2,50.6,24.7,32.6,31.9,29.8,0.2,0.2,0.0,16.5,62.8,10.8,26.4,14.6,12.7,63.4,23.9,62.5,66.9,47,47,46,46,25.5,27.7,4.3,19.6,0.1,0.1,0.1,154,136,141,174,1462,1329,1383,1378,148,130,134,166,3.9,8.1,4.3,5.7,22.1,12.5,12.1,19.5,32.5,30.1,29.8,36.2,98,87,88,100,8.0,7.1,7.2,8.2,753,663,684,673,3.7
2,Belair-Edison,50.3,57.1,52.7,57.4,56.6,13.3,14.1,14.9,12.3,10.2,43.0,37.7,43.3,45.4,54.8,17.5,16.2,51.1,57.8,60.9,1.5,77.6,81.5,50.2,53.9,45.4,46.1,0.3,0.3,0.5,41.6,61.9,11.9,26.2,16.2,18.7,66.0,15.4,48.5,49.4,165,165,165,164,8.5,10.9,8.5,6.7,0.2,0.1,0.1,225,224,251,258,1590,1540,1605,1540,217,217,244,245,8.9,12.1,7.6,4.7,22.7,18.8,23.5,16.3,31.6,31.3,38.6,39.9,172,172,189,183,9.9,9.9,10.9,10.5,1044,915,1008,896,6.8
3,Brooklyn/Curtis Bay/Hawkins Point,81.7,79.1,62.1,61.3,54.9,25.3,21.3,15.2,16.1,14.1,57.8,46.9,43.7,40.1,83.3,16.8,30.8,68.0,74.1,63.5,2.9,158.5,144.6,101.1,85.0,39.9,39.6,0.3,0.2,0.1,94.1,54.6,14.7,30.7,21.2,34.8,59.1,6.1,72.7,75.8,880,838,856,828,5.2,7.4,13.7,7.2,0.1,0.1,0.1,329,414,317,528,6127,6696,4945,6643,297,386,291,493,2.7,7.5,6.9,5.3,10.9,15.0,14.8,23.5,21.9,30.7,23.0,41.9,161,208,153,259,11.3,14.6,10.7,18.2,1227,1463,1114,1850,8.6
4,Canton,61.0,64.8,57.9,56.4,46.5,8.3,7.7,6.7,6.9,6.3,57.2,51.2,49.1,39.5,81.5,14.8,7.4,34.3,39.6,35.8,0.0,46.2,44.3,4.0,3.7,32.8,34.6,0.0,0.0,0.0,8.6,83.7,4.0,12.3,4.6,7.4,29.0,63.7,53.7,50.5,205,210,208,207,14.1,13.3,13.5,9.7,0.5,0.2,0.2,314,322,364,400,2653,2516,2921,2906,307,316,352,384,7.6,10.9,11.5,5.3,17.8,17.7,26.1,24.5,33.4,34.2,39.0,42.3,214,230,248,288,26.4,28.4,30.6,35.6,2029,1887,2211,2261,1.1
5,Cedonia/Frankford,43.7,48.4,46.7,52.2,52.3,12.0,11.3,12.1,11.8,12.8,37.1,34.6,39.5,38.8,46.5,9.5,10.7,60.2,70.2,66.7,0.8,10.7,61.6,22.8,24.2,26.5,24.8,0.3,0.3,0.0,21.7,64.8,10.2,25.0,13.7,17.9,69.4,12.7,53.1,50.0,231,231,231,231,7.8,9.5,6.9,7.8,0.3,0.1,0.1,426,379,407,451,3281,2935,2963,2859,414,368,397,439,9.4,10.6,9.8,6.9,22.3,17.7,21.1,19.1,36.2,33.5,35.6,39.5,316,280,297,316,13.4,11.9,12.6,13.4,2255,1998,2073,1952,5.1
6,Cherry Hill,60.0,64.7,59.1,50.6,53.5,22.6,22.2,19.6,16.2,15.5,42.6,39.5,33.2,37.1,61.6,13.8,29.4,62.9,71.1,78.6,6.0,110.2,125.1,97.4,94.6,25.2,21.6,0.5,0.4,0.4,77.0,50.8,14.2,35.0,21.9,23.2,69.4,7.4,57.1,53.2,91,93,93,93,29.7,38.7,23.7,11.8,0.0,0.0,0.0,88,138,100,161,872,1198,1190,1498,84,132,95,150,3.4,9.4,5.0,3.1,5.7,18.8,16.0,19.3,14.8,26.8,21.0,36.6,47,85,56,108,5.7,10.4,6.8,13.2,353,625,641,669,7.5
7,Chinquapin Park/Belvedere,43.6,33.4,44.5,42.8,47.7,12.6,7.1,9.0,9.2,9.0,26.3,35.5,32.9,37.9,37.9,10.2,7.3,39.7,44.2,47.3,0.3,60.1,64.0,17.9,27.2,38.9,35.1,0.0,0.4,0.1,13.4,73.1,9.2,17.6,11.2,11.3,54.2,34.4,55.1,48.4,57,57,56,56,10.5,17.5,21.4,28.6,0.3,0.4,0.4,140,128,145,172,1170,1153,1211,1305,136,124,140,164,5.7,7.0,9.7,6.4,21.4,10.9,20.0,22.7,32.1,28.9,35.2,37.8,106,99,107,123,13.7,12.8,13.8,15.5,880,868,891,963,4.2
8,Claremont/Armistead,52.6,63.2,49.0,50.1,46.3,13.2,12.6,8.9,7.9,9.8,50.5,40.1,41.7,36.0,18.7,7.7,3.3,60.4,68.8,67.4,0.9,10.9,67.8,19.9,25.4,60.1,64.4,0.1,0.1,0.0,29.2,62.3,11.0,26.7,15.0,25.1,63.9,11.0,56.7,61.6,183,182,186,186,10.4,7.7,9.1,10.8,0.0,0.0,0.0,177,185,190,214,2681,3024,2749,2713,162,168,176,196,7.3,7.0,7.9,4.7,14.7,14.1,16.8,18.7,27.7,26.5,28.4,36.9,76,77,86,84,9.2,9.4,10.4,10.2,1124,1243,1137,938,4.5
9,Clifton-Berea,57.9,61.0,56.4,57.1,55.0,23.3,23.5,20.0,15.4,16.8,37.5,36.5,40.2,36.8,144.9,33.2,63.7,49.7,63.5,61.8,7.3,121.0,130.5,201.9,264.8,47.0,45.8,0.6,0.8,0.6,131.9,44.9,10.0,45.1,18.2,27.4,65.4,7.2,49.1,45.8,149,149,150,149,6.7,4.7,19.3,8.7,0.0,0.0,0.0,182,169,164,162,2009,1487,1448,1282,173,161,156,149,4.9,7.7,5.5,9.3,15.9,11.2,13.4,20.4,34.1,29.0,26.2,30.9,132,126,120,118,13.4,12.8,12.2,12.0,709,732,721,614,10.9
