Neighborhood,empl13,unempl13,nilf13,unempr13,lesshs13,hsdipl13,somecol13,wrkout10,wrkout11,comprop10,comprop11,comprop12,comprop13,crehab10,crehab11,crehab12,crehab13,banks11,banks12,banks13,numbus10,numbus11,numbus12,numbus13,totemp10,totemp11,totemp12,totemp13,smlbus10,smlbus11,smlbus12,smlbus13,biz1_10,biz1_11,biz1_12,biz1_13,biz2_10,biz2_11,biz2_12,biz2_13,biz4_10,biz4_11,biz4_12,biz4_13,neiind10,neiind11,neiind12,neiind13,neibus10,neibus11,neibus12,neibus13,neiemp10,neiemp11,neiemp12,neiemp13,prbprl12
Allendale/Irvington/S. Hilton,60.3,13.2,26.5,17.9,23.7,64.6,11.7,60.3,59,279,278,284,281,13.3,8.6,13.7,10,0,0,0,269,237,253,281,2778,2502,2629,2795,255,226,242,269,8.9,11,9.5,3.9,19.3,15.6,24.5,19.2,33.8,29.1,34.8,39.9,183,161,162,173,11.3,9.9,10,10.7,1503,1378,1370,1467,6.2
Beechfield/Ten Hills/West Hills,62.8,10.8,26.4,14.6,12.7,63.4,23.9,62.5,66.900000000000006,47,47,46,46,25.5,27.7,4.3,19.6,0.1,0.1,0.1,154,136,141,174,1462,1329,1383,1378,148,130,134,166,3.9,8.1,4.3,5.7,22.1,12.5,12.1,19.5,32.5,30.1,29.8,36.2,98,87,88,100,8,7.1,7.2,8.2,753,663,684,673,3.7
Belair-Edison,61.9,11.9,26.2,16.2,18.7,66,15.4,48.5,49.4,165,165,165,164,8.5,10.9,8.5,6.7,0.2,0.1,0.1,225,224,251,258,1590,1540,1605,1540,217,217,244,245,8.9,12.1,7.6,4.7,22.7,18.8,23.5,16.3,31.6,31.3,38.6,39.9,172,172,189,183,9.9,9.9,10.9,10.5,1044,915,1008,896,6.8
Brooklyn/Curtis Bay/Hawkins Point,54.6,14.7,30.7,21.2,34.8,59.1,6.1,72.7,75.8,880,838,856,828,5.2,7.4,13.7,7.2,0.1,0.1,0.1,329,414,317,528,6127,6696,4945,6643,297,386,291,493,2.7,7.5,6.9,5.3,10.9,15,14.8,23.5,21.9,30.7,23,41.9,161,208,153,259,11.3,14.6,10.7,18.2,1227,1463,1114,1850,8.6
Canton,83.7,4,12.3,4.6,7.4,29,63.7,53.699999999999996,50.5,205,210,208,207,14.1,13.3,13.5,9.7,0.5,0.2,0.2,314,322,364,400,2653,2516,2921,2906,307,316,352,384,7.6,10.9,11.5,5.3,17.8,17.7,26.1,24.5,33.4,34.2,39,42.3,214,230,248,288,26.4,28.4,30.6,35.6,2029,1887,2211,2261,1.1
Cedonia/Frankford,64.8,10.2,25,13.7,17.9,69.4,12.7,53.1,50,231,231,231,231,7.8,9.5,6.9,7.8,0.3,0.1,0.1,426,379,407,451,3281,2935,2963,2859,414,368,397,439,9.4,10.6,9.8,6.9,22.3,17.7,21.1,19.1,36.2,33.5,35.6,39.5,316,280,297,316,13.4,11.9,12.6,13.4,2255,1998,2073,1952,5.1
Cherry Hill,50.8,14.2,35,21.9,23.2,69.4,7.4,57.1,53.2,91,93,93,93,29.7,38.7,23.7,11.8,0,0,0,88,138,100,161,872,1198,1190,1498,84,132,95,150,3.4,9.4,5,3.1,5.7,18.8,16,19.3,14.8,26.8,21,36.6,47,85,56,108,5.7,10.4,6.8,13.2,353,625,641,669,7.5
Chinquapin Park/Belvedere,73.1,9.2,17.6,11.2,11.3,54.2,34.4,55.1,48.4,57,57,56,56,10.5,17.5,21.4,28.6,0.3,0.4,0.4,140,128,145,172,1170,1153,1211,1305,136,124,140,164,5.7,7,9.7,6.4,21.4,10.9,20,22.7,32.1,28.9,35.2,37.8,106,99,107,123,13.7,12.8,13.8,15.5,880,868,891,963,4.2
Claremont/Armistead,62.3,11,26.7,15,25.1,63.9,11,56.7,61.6,183,182,186,186,10.4,7.7,9.1,10.8,0,0,0,177,185,190,214,2681,3024,2749,2713,162,168,176,196,7.3,7,7.9,4.7,14.7,14.1,16.8,18.7,27.7,26.5,28.4,36.9,76,77,86,84,9.2,9.4,10.4,10.2,1124,1243,1137,938,4.5
Clifton-Berea,44.9,10,45.1,18.2,27.4,65.4,7.2,49.1,45.8,149,149,150,149,6.7,4.7,19.3,8.7,0,0,0,182,169,164,162,2009,1487,1448,1282,173,161,156,149,4.9,7.7,5.5,9.3,15.9,11.2,13.4,20.4,34.1,29,26.2,30.9,132,126,120,118,13.4,12.8,12.2,12,709,732,721,614,10.9
Cross-Country/Cheswolde,70.6,6.4,23,8.3,4.7,40,55.3,59.599999999999994,53.8,24,24,24,24,20.8,16.7,16.7,4.2,0,0,0,209,193,207,269,1088,979,1151,1231,207,191,204,260,3.3,9.3,5.8,2.6,22,13,19.3,19.7,40.7,38.9,38.2,45.7,138,124,132,178,10.6,9.5,10.1,13.7,563,517,612,700,0.8
Dickeyville/Franklintown,64.1,7.3,28.6,10.3,13.6,66.3,20.1,58.1,54.7,29,30,30,30,3.4,16.7,46.7,13.3,0,0,0,32,39,32,55,258,310,212,282,31,37,31,53,3.1,5.1,9.4,3.6,15.6,12.8,18.8,21.8,37.5,35.9,28.1,34.5,18,17,14,36,4.4,4.1,3.4,8.8,135,91,82,168,4.4
Dorchester/Ashburton,55.2,14,30.8,20.3,17,66.3,16.7,53.8,62.2,116,116,117,117,7.8,6,6,11.1,0,0,0,173,177,184,211,1438,1173,1430,1434,166,172,177,200,12.1,10.7,12,8.1,23.7,20.9,23.9,26.1,37.6,32.8,39.7,45,136,137,141,151,11.5,11.6,12,12.8,727,564,822,789,5.2
Downtown/Seton Hill,64,3.1,32.9,4.6,8.8,27.4,63.8,40.900000000000006,39.5,1260,1240,1240,1242,23.3,26.6,25.2,22.8,5.6,3.6,3.6,2985,2730,2923,3353,85143,86930,85752,83488,2818,2594,2705,3146,7.3,8.5,6.6,4.8,19.2,14.3,17.9,25,35.9,31.1,31.5,38.7,2210,2041,2176,2573,456.2,421.3,337.6,396.5,58327,53390,62369,55415,2.2
Edmondson Village,58,17,25,22.7,20.5,71,8.5,59.300000000000004,58,32,32,32,32,6.3,6.3,28.1,12.5,0,0,0,55,58,65,65,501,380,394,411,53,57,64,62,7.3,10.3,7.7,4.6,16.4,17.2,24.6,23.1,27.3,32.8,36.9,36.9,42,41,49,47,5.3,5.2,6.2,5.9,307,200,225,218,6.9
Fells Point,80.8,4.3,14.8,5.1,11,25.6,63.4,47.4,43.1,526,527,528,525,9.9,13.1,20.3,11.8,0.6,0.6,0.6,491,462,514,528,5649,5572,5929,5566,474,445,495,505,8.4,7.6,7.4,5.9,20.6,12.1,19.1,23.5,34.6,30.5,31.7,39.6,362,346,376,384,40,38.3,41.6,42.5,4801,4742,5020,4643,1.1
Forest Park/Walbrook,57.7,9.5,32.9,14.2,19,63.5,17.6,56,60.5,53,52,52,52,20.8,3.8,7.7,5.8,0,0,0,146,142,142,163,767,691,652,631,144,141,142,160,13.7,12,7.7,9.2,26,23.9,24.6,23.3,39.7,43,41.5,47.2,114,108,110,119,11.6,11,11.2,12.1,549,456,483,475,6.5
Glen-Fallstaff,65,10.4,24.6,13.7,19.8,55,25.2,56.3,42,333,332,332,332,7.5,13.6,7.5,8.1,0.3,0.3,0.2,711,672,704,760,8523,6052,8028,8267,683,646,656,724,8,6.3,7.5,4.6,21,14.6,15.5,18.7,33.8,32.6,31.4,34.7,484,451,460,498,32.5,30.2,30.8,33.4,3688,3542,3526,3707,3.3
